Format,2.0A,
Memory Length,5000,Memory Length,5000,
Trigger Level,60.0V,Trigger Level,60.0V,
Source,CH1,Source,CH2,
Label, ,Label, ,
Probe Ratio,1.000E+01,Probe Ratio,1.000E+01,
Vertical Units,V,Vertical Units,V,
Vertical Scale,5.000E+00,Vertical Scale,1.000E+02,
Vertical Position,-1.140E+01,Vertical Position,-1.120E+02,
Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,5.000E-08,Horizontal Scale,5.000E-08,
Horizontal Position,1.255E-07,Horizontal Position,1.255E-07,
Horizontal Mode,Main,Horizontal Mode,Main,
Sampling Period,1.000E-09,Sampling Period,1.000E-09,
Firmware,V1.21,Firmware,V1.21,
Time,11-Jun-22 14:18:48,Time,11-Jun-22 14:18:48,
Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,
-2.374500e-06,1.200000,-2.374500e-06,436.000000,
-2.373500e-06,1.200000,-2.373500e-06,436.000000,
-2.372500e-06,1.200000,-2.372500e-06,436.000000,
-2.371500e-06,1.200000,-2.371500e-06,436.000000,
-2.370500e-06,1.200000,-2.370500e-06,436.000000,
-2.369500e-06,1.200000,-2.369500e-06,436.000000,
-2.368500e-06,1.200000,-2.368500e-06,436.000000,
-2.367500e-06,1.200000,-2.367500e-06,436.000000,
-2.366500e-06,1.200000,-2.366500e-06,436.000000,
-2.365500e-06,1.200000,-2.365500e-06,436.000000,
-2.364500e-06,1.200000,-2.364500e-06,436.000000,
-2.363500e-06,1.200000,-2.363500e-06,436.000000,
-2.362500e-06,1.200000,-2.362500e-06,436.000000,
-2.361500e-06,1.200000,-2.361500e-06,436.000000,
-2.360500e-06,1.200000,-2.360500e-06,436.000000,
-2.359500e-06,1.200000,-2.359500e-06,436.000000,
-2.358500e-06,1.200000,-2.358500e-06,436.000000,
-2.357500e-06,1.200000,-2.357500e-06,436.000000,
-2.356500e-06,1.200000,-2.356500e-06,436.000000,
-2.355500e-06,1.200000,-2.355500e-06,436.000000,
-2.354500e-06,1.200000,-2.354500e-06,436.000000,
-2.353500e-06,1.200000,-2.353500e-06,436.000000,
-2.352500e-06,1.200000,-2.352500e-06,436.000000,
-2.351500e-06,1.200000,-2.351500e-06,436.000000,
-2.350500e-06,1.200000,-2.350500e-06,436.000000,
-2.349500e-06,1.200000,-2.349500e-06,436.000000,
-2.348500e-06,1.200000,-2.348500e-06,440.000000,
-2.347500e-06,1.200000,-2.347500e-06,436.000000,
-2.346500e-06,1.200000,-2.346500e-06,436.000000,
-2.345500e-06,1.200000,-2.345500e-06,436.000000,
-2.344500e-06,1.200000,-2.344500e-06,436.000000,
-2.343500e-06,1.200000,-2.343500e-06,436.000000,
-2.342500e-06,1.200000,-2.342500e-06,436.000000,
-2.341500e-06,1.000000,-2.341500e-06,436.000000,
-2.340500e-06,1.200000,-2.340500e-06,436.000000,
-2.339500e-06,1.200000,-2.339500e-06,436.000000,
-2.338500e-06,1.200000,-2.338500e-06,436.000000,
-2.337500e-06,1.200000,-2.337500e-06,436.000000,
-2.336500e-06,1.200000,-2.336500e-06,436.000000,
-2.335500e-06,1.200000,-2.335500e-06,436.000000,
-2.334500e-06,1.200000,-2.334500e-06,436.000000,
-2.333500e-06,1.200000,-2.333500e-06,436.000000,
-2.332500e-06,1.200000,-2.332500e-06,436.000000,
-2.331500e-06,1.200000,-2.331500e-06,436.000000,
-2.330500e-06,1.200000,-2.330500e-06,436.000000,
-2.329500e-06,1.200000,-2.329500e-06,436.000000,
-2.328500e-06,1.200000,-2.328500e-06,436.000000,
-2.327500e-06,1.200000,-2.327500e-06,436.000000,
-2.326500e-06,1.200000,-2.326500e-06,436.000000,
-2.325500e-06,1.200000,-2.325500e-06,436.000000,
-2.324500e-06,1.200000,-2.324500e-06,436.000000,
-2.323500e-06,1.200000,-2.323500e-06,436.000000,
-2.322500e-06,1.200000,-2.322500e-06,436.000000,
-2.321500e-06,1.200000,-2.321500e-06,436.000000,
-2.320500e-06,1.200000,-2.320500e-06,436.000000,
-2.319500e-06,1.200000,-2.319500e-06,436.000000,
-2.318500e-06,1.200000,-2.318500e-06,436.000000,
-2.317500e-06,1.200000,-2.317500e-06,436.000000,
-2.316500e-06,1.200000,-2.316500e-06,436.000000,
-2.315500e-06,1.200000,-2.315500e-06,436.000000,
-2.314500e-06,1.200000,-2.314500e-06,436.000000,
-2.313500e-06,1.200000,-2.313500e-06,436.000000,
-2.312500e-06,1.200000,-2.312500e-06,436.000000,
-2.311500e-06,1.200000,-2.311500e-06,436.000000,
-2.310500e-06,1.200000,-2.310500e-06,436.000000,
-2.309500e-06,1.200000,-2.309500e-06,436.000000,
-2.308500e-06,1.200000,-2.308500e-06,436.000000,
-2.307500e-06,1.200000,-2.307500e-06,436.000000,
-2.306500e-06,1.200000,-2.306500e-06,436.000000,
-2.305500e-06,1.200000,-2.305500e-06,436.000000,
-2.304500e-06,1.200000,-2.304500e-06,436.000000,
-2.303500e-06,1.200000,-2.303500e-06,436.000000,
-2.302500e-06,1.200000,-2.302500e-06,436.000000,
-2.301500e-06,1.200000,-2.301500e-06,436.000000,
-2.300500e-06,1.200000,-2.300500e-06,436.000000,
-2.299500e-06,1.200000,-2.299500e-06,436.000000,
-2.298500e-06,1.200000,-2.298500e-06,436.000000,
-2.297500e-06,1.200000,-2.297500e-06,436.000000,
-2.296500e-06,1.200000,-2.296500e-06,436.000000,
-2.295500e-06,1.200000,-2.295500e-06,436.000000,
-2.294500e-06,1.200000,-2.294500e-06,436.000000,
-2.293500e-06,1.200000,-2.293500e-06,436.000000,
-2.292500e-06,1.200000,-2.292500e-06,436.000000,
-2.291500e-06,1.200000,-2.291500e-06,436.000000,
-2.290500e-06,1.200000,-2.290500e-06,436.000000,
-2.289500e-06,1.200000,-2.289500e-06,436.000000,
