  Time                 , V(VgHighside:+,L6:1) , I(L6)                
  0.000000000000e+00  ,0.000000000000e+00  ,8.026943734274e-05  
  1.000000000000e-12  ,2.000000000000e-02  ,8.026943371404e-05  
  2.000000000000e-12  ,4.000000000000e-02  ,8.026942766659e-05  
  4.000160748139e-12  ,8.000321496278e-02  ,8.026940593607e-05  
  8.000482244417e-12  ,1.600096448883e-01  ,8.026931939288e-05  
  1.600112523697e-11  ,3.200225047395e-01  ,8.026897632392e-05  
  3.129227775894e-11  ,6.258455551788e-01  ,8.026770937589e-05  
  4.560554157756e-11  ,9.121108315513e-01  ,8.026581810995e-05  
  7.423206921481e-11  ,1.484641384296e+00  ,8.026010655352e-05  
  1.138249201681e-10  ,2.276498403363e+00  ,8.024827713846e-05  
  1.845006620493e-10  ,3.690013240986e+00  ,8.021717081328e-05  
  2.845014234986e-10  ,5.690028469972e+00  ,8.015466685805e-05  
  3.845021849480e-10  ,7.690043698959e+00  ,8.007404162184e-05  
  4.845029463973e-10  ,9.690058927946e+00  ,7.997836276746e-05  
  5.845037078466e-10  ,1.169007415693e+01  ,7.986997280063e-05  
  6.845044692960e-10  ,1.369008938592e+01  ,7.975055381100e-05  
  7.845052307453e-10  ,1.569010461491e+01  ,7.962126527225e-05  
  8.845059921946e-10  ,1.769011984389e+01  ,7.948290284933e-05  
  9.845067536440e-10  ,1.969013507288e+01  ,7.933587536511e-05  
  1.000000002000e-09  ,2.000000000000e+01  ,7.931235903560e-05  
  1.010000078145e-09  ,2.000000000000e+01  ,7.929739058760e-05  
  1.030000230435e-09  ,2.000000000000e+01  ,7.926798097727e-05  
  1.070000535015e-09  ,2.000000000000e+01  ,7.921211285340e-05  
  1.150001144174e-09  ,2.000000000000e+01  ,7.911030624876e-05  
  1.250001905623e-09  ,2.000000000000e+01  ,7.899759238361e-05  
  1.350002667073e-09  ,2.000000000000e+01  ,7.889638819010e-05  
  1.450003428522e-09  ,2.000000000000e+01  ,7.880285992900e-05  
  1.550004189971e-09  ,2.000000000000e+01  ,7.871427278262e-05  
  1.650004951421e-09  ,2.000000000000e+01  ,7.862867567850e-05  
  1.750005712870e-09  ,2.000000000000e+01  ,7.854467696361e-05  
  1.850006474319e-09  ,2.000000000000e+01  ,7.846128472362e-05  
  1.950007235769e-09  ,2.000000000000e+01  ,7.837779310149e-05  
  2.050007997218e-09  ,2.000000000000e+01  ,7.829370134741e-05  
  2.150008758667e-09  ,2.000000000000e+01  ,7.820865616105e-05  
  2.250009520117e-09  ,2.000000000000e+01  ,7.812241060622e-05  
  2.350010281566e-09  ,2.000000000000e+01  ,7.803479481686e-05  
  2.450011043015e-09  ,2.000000000000e+01  ,7.794569509554e-05  
  2.550011804465e-09  ,2.000000000000e+01  ,7.785503898499e-05  
  2.650012565914e-09  ,2.000000000000e+01  ,7.776278458574e-05  
  2.750013327363e-09  ,2.000000000000e+01  ,7.766891289872e-05  
  2.850014088813e-09  ,2.000000000000e+01  ,7.757342232006e-05  
  2.950014850262e-09  ,2.000000000000e+01  ,7.747632466659e-05  
  3.050015611711e-09  ,2.000000000000e+01  ,7.737764229025e-05  
  3.150016373161e-09  ,2.000000000000e+01  ,7.727740596945e-05  
  3.250017134610e-09  ,2.000000000000e+01  ,7.717565335058e-05  
  3.350017896059e-09  ,2.000000000000e+01  ,7.707242778473e-05  
  3.450018657509e-09  ,2.000000000000e+01  ,7.696777744200e-05  
  3.550019418958e-09  ,2.000000000000e+01  ,7.686175462675e-05  
  3.650020180407e-09  ,2.000000000000e+01  ,7.675441523379e-05  
  3.750020941857e-09  ,2.000000000000e+01  ,7.664581830638e-05  
  3.850021703306e-09  ,2.000000000000e+01  ,7.653602566764e-05  
  3.950022464755e-09  ,2.000000000000e+01  ,7.642510160207e-05  
  4.050023226205e-09  ,2.000000000000e+01  ,7.631311257490e-05  
  4.150023987654e-09  ,2.000000000000e+01  ,7.620012697992e-05  
  4.250024749103e-09  ,2.000000000000e+01  ,7.608621490499e-05  
  4.350025510553e-09  ,2.000000000000e+01  ,7.597144791288e-05  
  4.450026272002e-09  ,2.000000000000e+01  ,7.585589883362e-05  
  4.550027033451e-09  ,2.000000000000e+01  ,7.573964156347e-05  
  4.650027794901e-09  ,2.000000000000e+01  ,7.562275087194e-05  
