  Time                 , (MAX(V(Z2:G,Le2:1))+20)@1, (MAX(V(Z2:G,Le2:1))+20)@2, (MAX(V(Z2:G,Le2:1))+20)@3, (MAX(V(Z2:G,Le2:1))+20)@4, (MAX(V(Z2:G,Le2:1))+20)@5, (MAX(V(Z2:G,Le2:1))+20)@6, (MAX(V(Z2:G,Le2:1))+20)@7, (MAX(V(Z2:G,Le2:1))+20)@8, (MAX(V(Z2:G,Le2:1))+20)@9, (MAX(V(Z2:G,Le2:1))+20)@10, (MAX(V(Z2:G,Le2:1))+20)@11, (MAX(V(Z2:G,Le2:1))+20)@12, (MAX(V(Z2:G,Le2:1))+20)@13, (MAX(V(Z2:G,Le2:1))+20)@14, (MAX(V(Z2:G,Le2:1))+20)@15, (MAX(V(Z2:G,Le2:1))+20)@16, (MAX(V(Z2:G,Le2:1))+20)@17, (MAX(V(Z2:G,Le2:1))+20)@18, (MAX(V(Z2:G,Le2:1))+20)@19
  0.000000000000e+00  ,2.344858133232e+00  ,2.646273483359e+00  ,2.844130018508e+00  ,2.983919353836e+00  ,3.089622665208e+00  ,3.171480493379e+00  ,3.235979480520e+00  ,3.288587158876e+00  ,3.332911992028e+00  ,3.370065272639e+00  ,3.402533180504e+00  ,3.430486069734e+00  ,3.456057182659e+00  ,3.477795154808e+00  ,3.497416653854e+00  ,3.515191688707e+00  ,3.531646677391e+00  ,3.546188153768e+00  ,3.559731973767e+00  
  1.000000000000e-11  ,2.344858133232e+00  ,2.646273483359e+00  ,2.844130018508e+00  ,2.983919353836e+00  ,3.089622665208e+00  ,3.171480493379e+00  ,3.235979480520e+00  ,3.288587158876e+00  ,3.332911992028e+00  ,3.370065272639e+00  ,3.402533180504e+00  ,3.430486069734e+00  ,3.456057182659e+00  ,3.477795154808e+00  ,3.497416653854e+00  ,3.515191688707e+00  ,3.531646677391e+00  ,3.546188153768e+00  ,3.559731973767e+00  
  1.010625171853e-11  ,2.344858133232e+00  ,2.646273483359e+00  ,2.844130018508e+00  ,2.983919353836e+00  ,3.089622665208e+00  ,3.171480493379e+00  ,3.235979480520e+00  ,3.288587158876e+00  ,3.332911992028e+00  ,3.370065272639e+00  ,3.402533180504e+00  ,3.430486069734e+00  ,3.456057182659e+00  ,3.477795154808e+00  ,3.497416653854e+00  ,3.515191688707e+00  ,3.531646677391e+00  ,3.546188153768e+00  ,3.559731973767e+00  
  1.010635547998e-11  ,2.344858133232e+00  ,2.646273483359e+00  ,2.844130018508e+00  ,2.983919353836e+00  ,3.089622665208e+00  ,3.171480493379e+00  ,3.235979480520e+00  ,3.288587158876e+00  ,3.332911992028e+00  ,3.370065272639e+00  ,3.402533180504e+00  ,3.430486069734e+00  ,3.456057182659e+00  ,3.477795154808e+00  ,3.497416653854e+00  ,3.515191688707e+00  ,3.531646677391e+00  ,3.546188153768e+00  ,3.559731973767e+00  
  1.010653426891e-11  ,2.344858133232e+00  ,2.646273483359e+00  ,2.844130018508e+00  ,2.983919353836e+00  ,3.089622665208e+00  ,3.171480493379e+00  ,3.235979480520e+00  ,3.288587158876e+00  ,3.332911992028e+00  ,3.370065272639e+00  ,3.402533180504e+00  ,3.430486069734e+00  ,3.456057182659e+00  ,3.477795154808e+00  ,3.497416653854e+00  ,3.515191688707e+00  ,3.531646677391e+00  ,3.546188153768e+00  ,3.559731973767e+00  
  1.010677690815e-11  ,2.344858133232e+00  ,2.646273483359e+00  ,2.844130018508e+00  ,2.983919353836e+00  ,3.089622665208e+00  ,3.171480493379e+00  ,3.235979480520e+00  ,3.288587158876e+00  ,3.332911992028e+00  ,3.370065272639e+00  ,3.402533180504e+00  ,3.430486069734e+00  ,3.456057182659e+00  ,3.477795154808e+00  ,3.497416653854e+00  ,3.515191688707e+00  ,3.531646677391e+00  ,3.546188153768e+00  ,3.559731973767e+00  
  1.010697514957e-11  ,2.344858133232e+00  ,2.646273483359e+00  ,2.844130018508e+00  ,2.983919353836e+00  ,3.089622665208e+00  ,3.171480493379e+00  ,3.235979480520e+00  ,3.288587158876e+00  ,3.332911992028e+00  ,3.370065272639e+00  ,3.402533180504e+00  ,3.430486069734e+00  ,3.456057182659e+00  ,3.477795154808e+00  ,3.497416653854e+00  ,3.515191688707e+00  ,3.531646677391e+00  ,3.546188153768e+00  ,3.559731973767e+00  
  1.010713301218e-11  ,2.344858133232e+00  ,2.646273483359e+00  ,2.844130018508e+00  ,2.983919353836e+00  ,3.089622665208e+00  ,3.171480493379e+00  ,3.235979480520e+00  ,3.288587158876e+00  ,3.332911992028e+00  ,3.370065272639e+00  ,3.402533180504e+00  ,3.430486069734e+00  ,3.456057182659e+00  ,3.477795154808e+00  ,3.497416653854e+00  ,3.515191688707e+00  ,3.531646677391e+00  ,3.546188153768e+00  ,3.559731973767e+00  
  1.010732136152e-11  ,2.344858133232e+00  ,2.646273483359e+00  ,2.844130018508e+00  ,2.983919353836e+00  ,3.089622665208e+00  ,3.171480493379e+00  ,3.235979480520e+00  ,3.288587158876e+00  ,3.332911992028e+00  ,3.370065272639e+00  ,3.402533180504e+00  ,3.430486069734e+00  ,3.456057182659e+00  ,3.477795154808e+00  ,3.497416653854e+00  ,3.515191688707e+00  ,3.531646677391e+00  ,3.546188153768e+00  ,3.559731973767e+00  
  1.010745569851e-11  ,2.344858133232e+00  ,2.646273483359e+00  ,2.844130018508e+00  ,2.983919353836e+00  ,3.089622665208e+00  ,3.171480493379e+00  ,3.235979480520e+00  ,3.288587158876e+00  ,3.332911992028e+00  ,3.370065272639e+00  ,3.402533180504e+00  ,3.430486069734e+00  ,3.456057182659e+00  ,3.477795154808e+00  ,3.497416653854e+00  ,3.515191688707e+00  ,3.531646677391e+00  ,3.546188153768e+00  ,3.559731973767e+00  
