Waveform Data,,Waveform Data,
-2.27E-06,0.72,-2.27E-06,4
-2.27E-06,0.72,-2.27E-06,4
-2.27E-06,0.72,-2.27E-06,4
-2.26E-06,0.72,-2.26E-06,4
-2.26E-06,0.72,-2.26E-06,4
-2.26E-06,0.72,-2.26E-06,4
-2.26E-06,0.72,-2.26E-06,4
-2.26E-06,0.72,-2.26E-06,4
-2.26E-06,0.72,-2.26E-06,4
-2.26E-06,0.72,-2.26E-06,4
-2.26E-06,0.72,-2.26E-06,4
-2.26E-06,0.72,-2.26E-06,4
-2.26E-06,0.72,-2.26E-06,4
-2.25E-06,0.72,-2.25E-06,4
-2.25E-06,0.72,-2.25E-06,4
-2.25E-06,0.72,-2.25E-06,4
-2.25E-06,0.64,-2.25E-06,4
-2.25E-06,0.72,-2.25E-06,4
-2.25E-06,0.72,-2.25E-06,4
-2.25E-06,0.72,-2.25E-06,4
-2.25E-06,0.72,-2.25E-06,4
-2.25E-06,0.72,-2.25E-06,4
-2.25E-06,0.72,-2.25E-06,4
-2.24E-06,0.72,-2.24E-06,4
-2.24E-06,0.72,-2.24E-06,4
-2.24E-06,0.72,-2.24E-06,4
-2.24E-06,0.72,-2.24E-06,4
-2.24E-06,0.72,-2.24E-06,4
-2.24E-06,0.72,-2.24E-06,4
-2.24E-06,0.72,-2.24E-06,4
-2.24E-06,0.72,-2.24E-06,4
-2.24E-06,0.72,-2.24E-06,4
-2.24E-06,0.72,-2.24E-06,4
-2.23E-06,0.72,-2.23E-06,4
-2.23E-06,0.72,-2.23E-06,4
-2.23E-06,0.72,-2.23E-06,4
-2.23E-06,0.72,-2.23E-06,4
-2.23E-06,0.72,-2.23E-06,4
-2.23E-06,0.72,-2.23E-06,4
-2.23E-06,0.64,-2.23E-06,4
-2.23E-06,0.72,-2.23E-06,4
-2.23E-06,0.72,-2.23E-06,4
-2.23E-06,0.72,-2.23E-06,4
-2.22E-06,0.72,-2.22E-06,4
-2.22E-06,0.72,-2.22E-06,4
-2.22E-06,0.72,-2.22E-06,4
-2.22E-06,0.72,-2.22E-06,8
-2.22E-06,0.72,-2.22E-06,4
-2.22E-06,0.72,-2.22E-06,4
-2.22E-06,0.72,-2.22E-06,4
-2.22E-06,0.72,-2.22E-06,4
-2.22E-06,0.72,-2.22E-06,4
-2.22E-06,0.72,-2.22E-06,4
-2.21E-06,0.72,-2.21E-06,4
-2.21E-06,0.72,-2.21E-06,4
-2.21E-06,0.72,-2.21E-06,4
-2.21E-06,0.72,-2.21E-06,4
-2.21E-06,0.72,-2.21E-06,4
-2.21E-06,0.72,-2.21E-06,4
-2.21E-06,0.72,-2.21E-06,4
-2.21E-06,0.72,-2.21E-06,4
-2.21E-06,0.72,-2.21E-06,4
-2.21E-06,0.72,-2.21E-06,8
-2.20E-06,0.72,-2.20E-06,4
-2.20E-06,0.72,-2.20E-06,4
-2.20E-06,0.72,-2.20E-06,4
-2.20E-06,0.72,-2.20E-06,4
-2.20E-06,0.72,-2.20E-06,4
-2.20E-06,0.64,-2.20E-06,4
-2.20E-06,0.72,-2.20E-06,4
-2.20E-06,0.72,-2.20E-06,4
-2.20E-06,0.72,-2.20E-06,4
-2.20E-06,0.72,-2.20E-06,4
-2.19E-06,0.72,-2.19E-06,4
-2.19E-06,0.72,-2.19E-06,4
-2.19E-06,0.72,-2.19E-06,4
-2.19E-06,0.72,-2.19E-06,4
-2.19E-06,0.72,-2.19E-06,4
-2.19E-06,0.72,-2.19E-06,4
-2.19E-06,0.72,-2.19E-06,4
-2.19E-06,0.72,-2.19E-06,4
-2.19E-06,0.72,-2.19E-06,4
-2.19E-06,0.72,-2.19E-06,4
-2.18E-06,0.72,-2.18E-06,4
-2.18E-06,0.72,-2.18E-06,4
-2.18E-06,0.72,-2.18E-06,4
-2.18E-06,0.72,-2.18E-06,4
-2.18E-06,0.72,-2.18E-06,4
-2.18E-06,0.72,-2.18E-06,4
-2.18E-06,0.72,-2.18E-06,4
-2.18E-06,0.72,-2.18E-06,4
-2.18E-06,0.72,-2.18E-06,4
-2.18E-06,0.72,-2.18E-06,8
-2.17E-06,0.72,-2.17E-06,4
-2.17E-06,0.72,-2.17E-06,4
-2.17E-06,0.72,-2.17E-06,4
-2.17E-06,0.72,-2.17E-06,4
