Waveform Data,,Waveform Data,
-2.52E-06,0.72,-2.52E-06,4
-2.52E-06,0.72,-2.52E-06,4
-2.51E-06,0.72,-2.51E-06,8
-2.51E-06,0.72,-2.51E-06,4
-2.51E-06,0.72,-2.51E-06,4
-2.51E-06,0.72,-2.51E-06,4
-2.51E-06,0.72,-2.51E-06,4
-2.51E-06,0.72,-2.51E-06,4
-2.51E-06,0.72,-2.51E-06,4
-2.51E-06,0.72,-2.51E-06,4
-2.51E-06,0.72,-2.51E-06,4
-2.51E-06,0.72,-2.51E-06,4
-2.50E-06,0.72,-2.50E-06,4
-2.50E-06,0.72,-2.50E-06,4
-2.50E-06,0.72,-2.50E-06,4
-2.50E-06,0.72,-2.50E-06,8
-2.50E-06,0.72,-2.50E-06,4
-2.50E-06,0.72,-2.50E-06,4
-2.50E-06,0.72,-2.50E-06,4
-2.50E-06,0.72,-2.50E-06,4
-2.50E-06,0.72,-2.50E-06,4
-2.50E-06,0.72,-2.50E-06,4
-2.49E-06,0.72,-2.49E-06,8
-2.49E-06,0.72,-2.49E-06,4
-2.49E-06,0.72,-2.49E-06,4
-2.49E-06,0.72,-2.49E-06,4
-2.49E-06,0.64,-2.49E-06,4
-2.49E-06,0.72,-2.49E-06,4
-2.49E-06,0.72,-2.49E-06,4
-2.49E-06,0.72,-2.49E-06,4
-2.49E-06,0.72,-2.49E-06,4
-2.49E-06,0.72,-2.49E-06,4
-2.48E-06,0.72,-2.48E-06,4
-2.48E-06,0.72,-2.48E-06,4
-2.48E-06,0.72,-2.48E-06,4
-2.48E-06,0.72,-2.48E-06,4
-2.48E-06,0.72,-2.48E-06,4
-2.48E-06,0.72,-2.48E-06,4
-2.48E-06,0.72,-2.48E-06,4
-2.48E-06,0.72,-2.48E-06,4
-2.48E-06,0.72,-2.48E-06,4
-2.48E-06,0.72,-2.48E-06,4
-2.47E-06,0.64,-2.47E-06,4
-2.47E-06,0.72,-2.47E-06,4
-2.47E-06,0.72,-2.47E-06,4
-2.47E-06,0.72,-2.47E-06,4
-2.47E-06,0.72,-2.47E-06,4
-2.47E-06,0.72,-2.47E-06,4
-2.47E-06,0.72,-2.47E-06,4
-2.47E-06,0.72,-2.47E-06,4
-2.47E-06,0.72,-2.47E-06,4
-2.47E-06,0.72,-2.47E-06,4
-2.46E-06,0.72,-2.46E-06,4
-2.46E-06,0.72,-2.46E-06,4
-2.46E-06,0.72,-2.46E-06,4
-2.46E-06,0.72,-2.46E-06,4
-2.46E-06,0.72,-2.46E-06,4
-2.46E-06,0.72,-2.46E-06,4
-2.46E-06,0.72,-2.46E-06,4
-2.46E-06,0.72,-2.46E-06,4
-2.46E-06,0.72,-2.46E-06,4
-2.46E-06,0.72,-2.46E-06,4
-2.45E-06,0.72,-2.45E-06,4
-2.45E-06,0.72,-2.45E-06,4
-2.45E-06,0.72,-2.45E-06,4
-2.45E-06,0.72,-2.45E-06,4
-2.45E-06,0.72,-2.45E-06,4
-2.45E-06,0.72,-2.45E-06,4
-2.45E-06,0.72,-2.45E-06,4
-2.45E-06,0.72,-2.45E-06,4
-2.45E-06,0.72,-2.45E-06,4
-2.45E-06,0.72,-2.45E-06,4
-2.44E-06,0.72,-2.44E-06,4
-2.44E-06,0.72,-2.44E-06,4
-2.44E-06,0.72,-2.44E-06,4
-2.44E-06,0.72,-2.44E-06,4
-2.44E-06,0.72,-2.44E-06,4
-2.44E-06,0.72,-2.44E-06,4
-2.44E-06,0.72,-2.44E-06,4
-2.44E-06,0.72,-2.44E-06,4
-2.44E-06,0.72,-2.44E-06,4
-2.44E-06,0.72,-2.44E-06,4
-2.43E-06,0.72,-2.43E-06,4
-2.43E-06,0.72,-2.43E-06,4
-2.43E-06,0.72,-2.43E-06,4
-2.43E-06,0.72,-2.43E-06,4
-2.43E-06,0.72,-2.43E-06,4
-2.43E-06,0.72,-2.43E-06,4
-2.43E-06,0.72,-2.43E-06,4
-2.43E-06,0.72,-2.43E-06,4
-2.43E-06,0.64,-2.43E-06,4
-2.43E-06,0.72,-2.43E-06,4
-2.42E-06,0.64,-2.42E-06,4
-2.42E-06,0.72,-2.42E-06,4
-2.42E-06,0.64,-2.42E-06,4
-2.42E-06,0.72,-2.42E-06,4
-2.42E-06,0.72,-2.42E-06,4
-2.42E-06,0.72,-2.42E-06,4
-2.42E-06,0.72,-2.42E-06,4
-2.42E-06,0.72,-2.42E-06,4
-2.42E-06,0.72,-2.42E-06,4
-2.42E-06,0.72,-2.42E-06,4
-2.41E-06,0.72,-2.41E-06,4
