  Time                 , (MAX(V(Cgs:2)-V(Cgs:1)))@1, (MAX(V(Cgs:2)-V(Cgs:1)))@2, (MAX(V(Cgs:2)-V(Cgs:1)))@3, (MAX(V(Cgs:2)-V(Cgs:1)))@4, (MAX(V(Cgs:2)-V(Cgs:1)))@5, (MAX(V(Cgs:2)-V(Cgs:1)))@6, (MAX(V(Cgs:2)-V(Cgs:1)))@7, (MAX(V(Cgs:2)-V(Cgs:1)))@8, (MAX(V(Cgs:2)-V(Cgs:1)))@9, (MAX(V(Cgs:2)-V(Cgs:1)))@10, (MAX(V(Cgs:2)-V(Cgs:1)))@11, (MAX(V(Cgs:2)-V(Cgs:1)))@12, (MAX(V(Cgs:2)-V(Cgs:1)))@13, (MAX(V(Cgs:2)-V(Cgs:1)))@14, (MAX(V(Cgs:2)-V(Cgs:1)))@15, (MAX(V(Cgs:2)-V(Cgs:1)))@16, (MAX(V(Cgs:2)-V(Cgs:1)))@17, (MAX(V(Cgs:2)-V(Cgs:1)))@18, (MAX(V(Cgs:2)-V(Cgs:1)))@19
  0.000000000000e+00  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  5.000000000000e-13  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  5.433715285908e-13  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  5.867601102073e-13  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  6.735031673888e-13  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  8.469892817520e-13  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  1.193961510478e-12  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  1.887905967931e-12  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  3.275794882837e-12  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  4.686966862108e-12  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  7.462744691918e-12  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  1.301430035154e-11  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
  2.411741167078e-11  ,8.872487200916e+00  ,9.205475988055e+00  ,9.498864763969e+00  ,9.783077557942e+00  ,9.999061932643e+00  ,1.010909175167e+01  ,1.011568204946e+01  ,1.003186655054e+01  ,9.873038490115e+00  ,9.654154970516e+00  ,9.388525539533e+00  ,9.087747674955e+00  ,8.801461260782e+00  ,8.950555117374e+00  ,9.093273525121e+00  ,9.230146822834e+00  ,9.361614629461e+00  ,9.488101277034e+00  ,9.609963251259e+00  
