0.000000000000e+00	3.999999197310e+02
1.000000000000e-12	3.999999197170e+02
2.000000000000e-12	3.999999196950e+02
4.000160748139e-12	3.999999196040e+02
8.000482244417e-12	3.999999191680e+02
1.600112523697e-11	3.999999167910e+02
3.126899469458e-11	3.999999028550e+02
4.558225851320e-11	3.999998742010e+02
7.420878615044e-11	3.999997482520e+02
1.138074578699e-10	3.999993617390e+02
1.567996362206e-10	3.999985750410e+02
2.295475708302e-10	3.999960905510e+02
3.257764758524e-10	3.999900320030e+02
4.257772373017e-10	3.999798133990e+02
5.257779987510e-10	3.999651184970e+02
6.257787602004e-10	3.999444004180e+02
7.257795216497e-10	3.999178596500e+02
8.257802830990e-10	3.998856631480e+02
9.257810445484e-10	3.998477761000e+02
1.000000002000e-09	3.998159872560e+02
1.010000078145e-09	3.998114412960e+02
1.030000230435e-09	3.998022478040e+02
1.070000535015e-09	3.997833002740e+02
1.150001144174e-09	3.997435960170e+02
1.250001905623e-09	3.996915229560e+02
1.350002667073e-09	3.996378359220e+02
1.450003428522e-09	3.995834672410e+02
1.550004189971e-09	3.995291126240e+02
1.650004951421e-09	3.994753006490e+02
1.750005712870e-09	3.994224413460e+02
1.850006474319e-09	3.993708601100e+02
1.950007235769e-09	3.993208213920e+02
2.050007997218e-09	3.992725451840e+02
2.150008758667e-09	3.992262184960e+02
2.250009520117e-09	3.991820033020e+02
2.350010281566e-09	3.991400420440e+02
2.450011043015e-09	3.991004614010e+02
2.550011804465e-09	3.990633748790e+02
2.650012565914e-09	3.990288845580e+02
2.750013327363e-09	3.989970822620e+02
2.850014088813e-09	3.989680503350e+02
2.950014850262e-09	3.989418621420e+02
3.050015611711e-09	3.989185823830e+02
3.150016373161e-09	3.988982672840e+02
3.250017134610e-09	3.988809647100e+02
3.350017896059e-09	3.988667142310e+02
3.450018657509e-09	3.988555471470e+02
3.550019418958e-09	3.988474865190e+02
3.650020180407e-09	3.988425471740e+02
3.750020941857e-09	3.988407357380e+02
3.850021703306e-09	3.988420488210e+02
3.950022464755e-09	3.988464754280e+02
4.050023226205e-09	3.988540028260e+02
4.150023987654e-09	3.988646034180e+02
4.250024749103e-09	3.988782435470e+02
4.350025510553e-09	3.988948817630e+02
4.450026272002e-09	3.989144689490e+02
4.550027033451e-09	3.989369484730e+02
4.650027794901e-09	3.989622563520e+02
4.750028556350e-09	3.989903214350e+02
4.850029317799e-09	3.990210656120e+02
4.950030079249e-09	3.990544040260e+02
5.050030840698e-09	3.990902453180e+02
5.150031602147e-09	3.991284918710e+02
5.250032363597e-09	3.991690400870e+02
5.350033125046e-09	3.992117806640e+02
5.450033886496e-09	3.992565988960e+02
5.550034647945e-09	3.993033749820e+02
5.650035409394e-09	3.993519843510e+02
5.750036170844e-09	3.994022979950e+02
5.850036932293e-09	3.994541828130e+02
5.950037693742e-09	3.995075019670e+02
6.050038455192e-09	3.995621152450e+02
6.150039216641e-09	3.996178794320e+02
6.250039978090e-09	3.996746486910e+02
6.350040739540e-09	3.997322749390e+02
6.450041500989e-09	3.997906082470e+02
6.550042262438e-09	3.998494972220e+02
6.650043023888e-09	3.999087894080e+02
6.750043785337e-09	3.999683316810e+02
6.850044546786e-09	4.000279706480e+02
6.950045308236e-09	4.000875530410e+02
7.050046069685e-09	4.001469261200e+02
7.150046831134e-09	4.002059380550e+02
7.250047592584e-09	4.002644383290e+02
