  Time                 , (MAX(V(Lg2:2,Z2:E)))@1, (MAX(V(Lg2:2,Z2:E)))@2, (MAX(V(Lg2:2,Z2:E)))@3, (MAX(V(Lg2:2,Z2:E)))@4, (MAX(V(Lg2:2,Z2:E)))@5, (MAX(V(Lg2:2,Z2:E)))@6, (MAX(V(Lg2:2,Z2:E)))@7, (MAX(V(Lg2:2,Z2:E)))@8, (MAX(V(Lg2:2,Z2:E)))@9, (MAX(V(Lg2:2,Z2:E)))@10, (MAX(V(Lg2:2,Z2:E)))@11, (MAX(V(Lg2:2,Z2:E)))@12, (MAX(V(Lg2:2,Z2:E)))@13, (MAX(V(Lg2:2,Z2:E)))@14, (MAX(V(Lg2:2,Z2:E)))@15, (MAX(V(Lg2:2,Z2:E)))@16, (MAX(V(Lg2:2,Z2:E)))@17, (MAX(V(Lg2:2,Z2:E)))@18, (MAX(V(Lg2:2,Z2:E)))@19, (MAX(V(Lg2:2,Z2:E)))@20
  4.000000000001e-06  ,1.000000000000e+31  ,1.000000000000e+31  ,1.000000000000e+31  ,1.000000000000e+31  ,1.000000000000e+31  ,1.000000000000e+31  ,1.000000000000e+31  ,1.000000000000e+31  ,1.000000000000e+31  ,1.000000000000e+31  ,6.661848022819e-01  ,4.768686501784e-01  ,2.970713636772e-01  ,1.530254385276e-01  ,4.664125995198e-02  ,1.290679043632e-02  ,9.502454528506e-03  ,1.041035106357e-02  ,1.160714180004e-02  ,1.249160167069e-02  
  4.000002040915e-06  ,3.374222317580e+00  ,3.085883571682e+00  ,2.806769513263e+00  ,2.520090565501e+00  ,2.226431297125e+00  ,1.944900197367e+00  ,1.670465788714e+00  ,1.413084290036e+00  ,1.155742461668e+00  ,9.022791411324e-01  ,6.661848022819e-01  ,4.768686501784e-01  ,2.970713636772e-01  ,1.530254385276e-01  ,4.664125995198e-02  ,1.290679043632e-02  ,9.502454528506e-03  ,1.041035106357e-02  ,1.160714180004e-02  ,1.249160167069e-02  
  4.000004451440e-06  ,3.374222317580e+00  ,3.085883571682e+00  ,2.806769513263e+00  ,2.520090565501e+00  ,2.226431297125e+00  ,1.944900197367e+00  ,1.670465788714e+00  ,1.413084290036e+00  ,1.155742461668e+00  ,9.022791411324e-01  ,6.661848022819e-01  ,4.768686501784e-01  ,2.970713636772e-01  ,1.530254385276e-01  ,4.664125995198e-02  ,1.290679043632e-02  ,9.502454528506e-03  ,1.041035106357e-02  ,1.160714180004e-02  ,1.249160167069e-02  
  4.000008533252e-06  ,3.374222317580e+00  ,3.085883571682e+00  ,2.806769513263e+00  ,2.520090565501e+00  ,2.226431297125e+00  ,1.944900197367e+00  ,1.670465788714e+00  ,1.413084290036e+00  ,1.155742461668e+00  ,9.022791411324e-01  ,6.661848022819e-01  ,4.768686501784e-01  ,2.970713636772e-01  ,1.530254385276e-01  ,4.664125995198e-02  ,1.290679043632e-02  ,9.502454528506e-03  ,1.041035106357e-02  ,1.160714180004e-02  ,1.249160167069e-02  
  4.000015264968e-06  ,3.374222317580e+00  ,3.085883571682e+00  ,2.806769513263e+00  ,2.520090565501e+00  ,2.226431297125e+00  ,1.944900197367e+00  ,1.670465788714e+00  ,1.413084290036e+00  ,1.155742461668e+00  ,9.022791411324e-01  ,6.661848022819e-01  ,4.768686501784e-01  ,2.970713636772e-01  ,1.530254385276e-01  ,4.664125995198e-02  ,1.290679043632e-02  ,9.502454528506e-03  ,1.041035106357e-02  ,1.160714180004e-02  ,1.249160167069e-02  
  4.000024907067e-06  ,3.374222317580e+00  ,3.085883571682e+00  ,2.806769513263e+00  ,2.520090565501e+00  ,2.226431297125e+00  ,1.944900197367e+00  ,1.670465788714e+00  ,1.413084290036e+00  ,1.155742461668e+00  ,9.022791411324e-01  ,6.661848022819e-01  ,4.768686501784e-01  ,2.970713636772e-01  ,1.530254385276e-01  ,4.664125995198e-02  ,1.290679043632e-02  ,9.502454528506e-03  ,1.041035106357e-02  ,1.160714180004e-02  ,1.249160167069e-02  
  4.000039278539e-06  ,3.374222317580e+00  ,3.085883571682e+00  ,2.806769513263e+00  ,2.520090565501e+00  ,2.226431297125e+00  ,1.944900197367e+00  ,1.670465788714e+00  ,1.413084290036e+00  ,1.155742461668e+00  ,9.022791411324e-01  ,6.661848022819e-01  ,4.768686501784e-01  ,2.970713636772e-01  ,1.530254385276e-01  ,4.664125995198e-02  ,1.290679043632e-02  ,9.502454528506e-03  ,1.041035106357e-02  ,1.160714180004e-02  ,1.249160167069e-02  
  4.000054703569e-06  ,3.374222317580e+00  ,3.085883571682e+00  ,2.806769513263e+00  ,2.520090565501e+00  ,2.226431297125e+00  ,1.944900197367e+00  ,1.670465788714e+00  ,1.413084290036e+00  ,1.155742461668e+00  ,9.022791411324e-01  ,6.661848022819e-01  ,4.768686501784e-01  ,2.970713636772e-01  ,1.530254385276e-01  ,4.664125995198e-02  ,1.290679043632e-02  ,9.502454528506e-03  ,1.041035106357e-02  ,1.160714180004e-02  ,1.249160167069e-02  
  4.000075160651e-06  ,3.374222317580e+00  ,3.085883571682e+00  ,2.806769513263e+00  ,2.520090565501e+00  ,2.226431297125e+00  ,1.944900197367e+00  ,1.670465788714e+00  ,1.413084290036e+00  ,1.155742461668e+00  ,9.022791411324e-01  ,6.661848022819e-01  ,4.768686501784e-01  ,2.970713636772e-01  ,1.530254385276e-01  ,4.664125995198e-02  ,1.290679043632e-02  ,9.502454528506e-03  ,1.041035106357e-02  ,1.160714180004e-02  ,1.249160167069e-02  
  4.000103490320e-06  ,3.374222317580e+00  ,3.085883571682e+00  ,2.806769513263e+00  ,2.520090565501e+00  ,2.226431297125e+00  ,1.944900197367e+00  ,1.670465788714e+00  ,1.413084290036e+00  ,1.155742461668e+00  ,9.022791411324e-01  ,6.661848022819e-01  ,4.768686501784e-01  ,2.970713636772e-01  ,1.530254385276e-01  ,4.664125995198e-02  ,1.290679043632e-02  ,9.502454528506e-03  ,1.041035106357e-02  ,1.160714180004e-02  ,1.249160167069e-02  
